,,,,,,,,,,,,,,,
GA sample ID,Gender,Ethnicity,Ethnicity short name,Region,Region short name,Country,Country of origin,Public,Related to,% Neanderthal ancestry,% Denisovan ancestry,Language group,Social Hierarchy ,mt- haplogroup,Y-haplogroup
GA000009,U,Yadava,YAD,SouthAsia,SAS,India,India,Yes,,2.27328,0.247869,,,,
GA000012,U,Relli,RLL,SouthAsia,SAS,India,India,Yes,,2.2144,0.373224,,,,
GA000013,U,Kapu,KPU,SouthAsia,SAS,India,India,Yes,,2.03951,0.26527,,,,
GA000015,U,Relli,RLL,SouthAsia,SAS,India,India,Yes,,2.15043,0.295099,,,,
GA000016,U,Kapu,KPU,SouthAsia,SAS,India,India,Yes,,2.22477,0.228338,,,,
GA000055,M,Punjabi,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,2.44249,0.179332,,,,
GA000059,F,Punjabi,PJB,SouthAsia,SAS,Pakistan,Pakistan,Yes,,1.97457,0.145597,,,,
GA000061,U,Madiga,MDG,SouthAsia,SAS,India,India,Yes,,2.14789,0.354048,,,,
GA000062,U,Brahmin,BMN,SouthAsia,SAS,India,India,Yes,,1.98318,0.221236,,,,
GA000063,U,Madiga,MDG,SouthAsia,SAS,India,India,Yes,,2.09292,0.323153,,,,
GA000064,U,Brahmin,BMN,SouthAsia,SAS,India,India,Yes,,2.24726,0.239702,,,,
GA000067,U,Mala,MLA,SouthAsia,SAS,India,India,Yes,,2.11483,0.237926,,,,
GA000070,U,KhondaDora,KHD,SouthAsia,SAS,India,India,Yes,,2.26976,0.322088,,,,
GA000071,U,Mala,MLA,SouthAsia,SAS,India,India,Yes,,2.14887,0.278409,,,,
GA000073,U,Irula,IRU,SouthAsia,SAS,India,India,Yes,,2.13811,0.341974,,,,
GA000074,U,Yadava,YAD,SouthAsia,SAS,India,India,Yes,,2.26858,0.231179,,,,
GA000078,U,Irula,IRU,SouthAsia,SAS,India,India,Yes,,2.30067,0.263139,,,,
GA000107,M,Kusunda,KUS,SouthAsia,SAS,Nepal,Nepal,Yes,,2.28717,0.385298,,,,
GA000116,M,Kusunda,KUS,SouthAsia,SAS,Nepal,Nepal,Yes,,2.17625,0.290128,,,,
GA000142,F,BEB,BEB,SouthAsia,SAS,Bangladesh,Bangladesh,Yes,,2.3707,0.344105,,,,
